Rank,Peak,All Time Peak,Actual gross in local currency,Adjusted gross in dollars,Artist,Tour title,Year(s),Shows,Average gross
1,1,2,"$780,000,000","$780,000,000",Taylor Swift,The Eras Tour †,2023–2024,56,"$13,928,571"
2,1,7,"$579,800,000","$579,800,000",Beyoncé,Renaissance World Tour,2023,56,"$10,353,571"
3,1,2,"$411,000,000","$560,622,615",Madonna,Sticky & Sweet Tour ‡,2008–2009,85,"$4,835,294"
4,2,10,"$397,300,000","$454,751,555",Pink,Beautiful Trauma World Tour,2018–2019,156,"$2,546,795"
5,2,nan,"$345,675,146","$402,844,849",Taylor Swift,Reputation Stadium Tour,2018,53,"$6,522,173"
6,2,10,"$305,158,363","$388,978,496",Madonna,The MDNA Tour,2012,88,"$3,467,709"
7,2,nan,"$280,000,000","$381,932,682",Celine Dion,Taking Chances World Tour,2008–2009,131,"$2,137,405"
7,nan,nan,"$257,600,000","$257,600,000",Pink,Summer Carnival †,2023–2024,41,"$6,282,927"
9,nan,nan,"$256,084,556","$312,258,401",Beyoncé,The Formation World Tour,2016,49,"$5,226,215"
10,nan,nan,"$250,400,000","$309,141,878",Taylor Swift,The 1989 World Tour,2015,85,"$2,945,882"
11,nan,nan,"$229,100,000","$283,202,896",Beyoncé,The Mrs. Carter Show World Tour,2013–2014,132,"$1,735,606"
12,nan,14,"$227,400,000","$295,301,479",Lady Gaga,The Monster Ball Tour *,2009–2011,203,"$1,118,227"
13,nan,nan,"$204,000,000","$251,856,802",Katy Perry,Prismatic World Tour,2014–2015,151,"$1,350,993"
14,1,nan,"$200,000,000","$299,676,265",Cher,Living Proof: The Farewell Tour ‡,2002–2005,325,"$615,385"
15,2,nan,"$194,000,000","$281,617,035",Madonna,Confessions Tour,2006,60,"$3,233,333"
16,nan,nan,"$184,000,000","$227,452,347",Pink,The Truth About Love Tour,2013–2014,142,"$1,295,775"
17,nan,nan,"$170,000,000","$213,568,571",Lady Gaga,Born This Way Ball,2012–2013,98,"$1,734,694"
18,nan,nan,"$169,800,000","$207,046,755",Madonna,Rebel Heart Tour,2015–2016,82,"$2,070,732"
19,nan,nan,"$167,700,000","$204,486,106",Adele,Adele Live 2016,2016–2017,121,"$1,385,950"
20,nan,nan,"$150,000,000","$185,423,109",Taylor Swift,The Red Tour,2013–2014,86,"$1,744,186"
